[144, 50, 100, 1, 1, 3, '西土城学一公寓101', '', '']
[144, 100, 100, 1, 2, 3, '西土城学一公寓102', '', '']
[144, 150, 100, 1, 3, 3, '西土城学一公寓103', '', '']
[144, 250, 100, 1, 4, 1, '145', '', '']
[144, 250, 200, 1, 5, 0, 'N', '', '']
[144, 300, 200, 1, 6, 3, '西土城学一公寓108', '', '']
[144, 200, 200, 1, 7, 3, '西土城学一公寓107', '', '']
[144, 250, 250, 1, 8, 0, 'N', '', '']
[144, 300, 250, 1, 9, 3, '西土城学一公寓110', '', '']
[144, 200, 250, 1, 10, 3, '西土城学一公寓109', '', '']
[144, 250, 300, 1, 11, 0, 'N', '', '']
[144, 300, 300, 1, 12, 3, '西土城学一公寓112', '', '']
[144, 200, 300, 1, 13, 3, '西土城学一公寓111', '', '']
[144, 250, 350, 1, 14, 0, 'N', '', '']
[144, 300, 350, 1, 15, 3, '西土城学一公寓114', '', '']
[144, 200, 350, 1, 16, 3, '西土城学一公寓113', '', '']
[144, 250, 400, 1, 17, 0, 'N', '', '']
[144, 300, 400, 1, 18, 3, '西土城学一公寓116', '', '']
[144, 200, 400, 1, 19, 3, '西土城学一公寓115', '', '']
[144, 350, 100, 1, 20, 3, '西土城学一公寓104', '', '']
[144, 400, 100, 1, 21, 3, '西土城学一公寓105', '', '']
[144, 250, 450, 1, 22, 0, 'N', '', '']
[144, 200, 450, 1, 23, 3, '西土城学一公寓117', '', '']
[144, 300, 450, 1, 24, 3, '西土城学一公寓118', '', '']
[144, 200, 100, 1, 25, 2, 'Stairs', '', '']
[144, 200, 0, 2, 26, 2, 'Stairs', '', '']
[144, 250, 0, 2, 27, 0, 'N', '', '']
[144, 300, 0, 2, 28, 0, 'N', '', '']
[144, 350, 0, 2, 29, 0, 'N', '', '']
[144, 400, 0, 2, 30, 0, 'N', '', '']
[144, 450, 0, 2, 31, 2, 'Stairs', '', '']
[144, 150, 0, 2, 32, 0, 'N', '', '']
[144, 100, 0, 2, 33, 0, 'N', '', '']
[144, 50, 0, 2, 34, 0, 'N', '', '']
[144, 300, 50, 2, 35, 3, '西土城学一公寓207', '', '']
[144, 300, -50, 2, 36, 3, '西土城学一公寓208', '', '']
[144, 350, 50, 2, 37, 3, '西土城学一公寓209', '', '']
[144, 350, -50, 2, 38, 3, '西土城学一公寓210', '', '']
[144, 400, -50, 2, 39, 3, '西土城学一公寓212', '', '']
[144, 400, 50, 2, 40, 3, '西土城学一公寓211', '', '']
[144, 450, 50, 2, 41, 3, '西土城学一公寓213', '', '']
[144, 450, -50, 2, 42, 3, '西土城学一公寓214', '', '']
[144, 150, 50, 2, 43, 3, '西土城学一公寓205', '', '']
[144, 150, -50, 2, 44, 3, '西土城学一公寓206', '', '']
[144, 100, 50, 2, 45, 3, '西土城学一公寓203', '', '']
[144, 100, -50, 2, 46, 3, '西土城学一公寓204', '', '']
[144, 50, 50, 2, 47, 3, '西土城学一公寓201', '', '']
[144, 50, -50, 2, 48, 3, '西土城学一公寓202', '', '']
[144, 250, -100, 2, 49, 0, 'N', '', '']
[144, 300, -100, 2, 50, 3, '西土城学一公寓216', '', '']
[144, 200, -100, 2, 51, 3, '西土城学一公寓215', '', '']
[144, 250, -150, 2, 52, 0, 'N', '', '']
[144, 300, -150, 2, 53, 3, '西土城学一公寓218', '', '']
[144, 200, -150, 2, 54, 3, '西土城学一公寓217', '', '']
[144, 250, -200, 2, 55, 0, 'N', '', '']
[144, 300, -200, 2, 56, 3, '西土城学一公寓220', '', '']
[144, 200, -200, 2, 57, 3, '西土城学一公寓219', '', '']
[144, 250, -250, 2, 58, 0, 'N', '', '']
[144, 300, -250, 2, 59, 3, '西土城学一公寓222', '', '']
[144, 200, -250, 2, 60, 3, '西土城学一公寓221', '', '']
[144, 250, -300, 2, 61, 0, 'N', '', '']
[144, 300, -300, 2, 62, 3, '西土城学一公寓224', '', '']
[144, 200, -300, 2, 63, 3, '西土城学一公寓223', '', '']
[144, 250, -350, 2, 64, 0, 'N', '', '']
[144, 300, -350, 2, 65, 3, '西土城学一公寓226', '', '']
[144, 200, -350, 2, 66, 3, '西土城学一公寓225', '', '']
[144, 450, 100, 1, 67, 3, '西土城学一公寓106', '', '']
[144, 550, 0, 3, 68, 2, 'Stairs', '', '']
[144, 600, 0, 3, 69, 0, 'N', '', '']
[144, 600, 50, 3, 70, 3, '西土城学一公寓301', '', '']
[144, 600, -50, 3, 71, 3, '西土城学一公寓302', '', '']
[144, 650, 0, 3, 72, 0, 'N', '', '']
[144, 650, 50, 3, 73, 3, '西土城学一公寓303', '', '']
[144, 650, -50, 3, 74, 3, '西土城学一公寓304', '', '']
[144, 700, 0, 3, 75, 0, 'N', '', '']
[144, 700, 100, 3, 76, 0, 'N', '', '']
[144, 750, 0, 3, 77, 0, 'N', '', '']
[144, 750, 50, 3, 78, 3, '西土城学一公寓305', '', '']
[144, 750, -50, 3, 79, 3, '西土城学一公寓306', '', '']
[144, 800, 0, 3, 80, 0, 'N', '', '']
[144, 850, 0, 3, 81, 0, 'N', '', '']
[144, 850, 50, 3, 82, 3, '西土城学一公寓309', '', '']
[144, 850, -50, 3, 83, 3, '西土城学一公寓310', '', '']
[144, 800, -50, 3, 84, 3, '西土城学一公寓308', '', '']
[144, 800, 50, 3, 85, 3, '西土城学一公寓307', '', '']
[144, 750, 100, 3, 86, 3, '西土城学一公寓312', '', '']
[144, 650, 100, 3, 87, 3, '西土城学一公寓311', '', '']
[144, 700, 150, 3, 88, 0, 'N', '', '']
[144, 700, 200, 3, 89, 0, 'N', '', '']
[144, 750, 150, 3, 90, 3, '西土城学一公寓314', '', '']
[144, 650, 150, 3, 91, 3, '西土城学一公寓313', '', '']
[144, 650, 200, 3, 92, 3, '西土城学一公寓315', '', '']
[144, 750, 200, 3, 93, 3, '西土城学一公寓316', '', '']
[144, 700, 250, 3, 94, 0, 'N', '', '']
[144, 700, 300, 3, 95, 0, 'N', '', '']
[144, 750, 300, 3, 96, 3, '西土城学一公寓320', '', '']
[144, 650, 300, 3, 97, 3, '西土城学一公寓319', '', '']
[144, 750, 250, 3, 98, 3, '西土城学一公寓318', '', '']
[144, 650, 250, 3, 99, 3, '西土城学一公寓317', '', '']
[144, 700, 350, 3, 100, 0, 'N', '', '']
[144, 750, 350, 3, 101, 3, '西土城学一公寓322', '', '']
[144, 650, 350, 3, 102, 3, '西土城学一公寓321', '', '']
[144, 250, 500, 1, 103, 1, '146', '', '']
