[29, 50, 100, 1, 1, 3, '燕南园S4-101', '', '']
[29, 100, 100, 1, 2, 3, '燕南园S4-102', '', '']
[29, 150, 100, 1, 3, 3, '燕南园S4-103', '', '']
[29, 250, 100, 1, 4, 1, '32', '', '']
[29, 250, 200, 1, 5, 0, 'N', '', '']
[29, 300, 200, 1, 6, 3, '燕南园S4-108', '', '']
[29, 200, 200, 1, 7, 3, '燕南园S4-107', '', '']
[29, 250, 250, 1, 8, 0, 'N', '', '']
[29, 300, 250, 1, 9, 3, '燕南园S4-110', '', '']
[29, 200, 250, 1, 10, 3, '燕南园S4-109', '', '']
[29, 250, 300, 1, 11, 0, 'N', '', '']
[29, 300, 300, 1, 12, 3, '燕南园S4-112', '', '']
[29, 200, 300, 1, 13, 3, '燕南园S4-111', '', '']
[29, 250, 350, 1, 14, 0, 'N', '', '']
[29, 300, 350, 1, 15, 3, '燕南园S4-114', '', '']
[29, 200, 350, 1, 16, 3, '燕南园S4-113', '', '']
[29, 250, 400, 1, 17, 0, 'N', '', '']
[29, 300, 400, 1, 18, 3, '燕南园S4-116', '', '']
[29, 200, 400, 1, 19, 3, '燕南园S4-115', '', '']
[29, 350, 100, 1, 20, 3, '燕南园S4-104', '', '']
[29, 400, 100, 1, 21, 3, '燕南园S4-105', '', '']
[29, 250, 450, 1, 22, 0, 'N', '', '']
[29, 200, 450, 1, 23, 3, '燕南园S4-117', '', '']
[29, 300, 450, 1, 24, 3, '燕南园S4-118', '', '']
[29, 200, 100, 1, 25, 2, 'Stairs', '', '']
[29, 200, 0, 2, 26, 2, 'Stairs', '', '']
[29, 250, 0, 2, 27, 0, 'N', '', '']
[29, 300, 0, 2, 28, 0, 'N', '', '']
[29, 350, 0, 2, 29, 0, 'N', '', '']
[29, 400, 0, 2, 30, 0, 'N', '', '']
[29, 450, 0, 2, 31, 2, 'Stairs', '', '']
[29, 150, 0, 2, 32, 0, 'N', '', '']
[29, 100, 0, 2, 33, 0, 'N', '', '']
[29, 50, 0, 2, 34, 0, 'N', '', '']
[29, 300, 50, 2, 35, 3, '燕南园S4-207', '', '']
[29, 300, 50, 2, 36, 3, '燕南园S4-208', '', '']
[29, 350, 50, 2, 37, 3, '燕南园S4-209', '', '']
[29, 350, 50, 2, 38, 3, '燕南园S4-210', '', '']
[29, 400, 50, 2, 39, 3, '燕南园S4-212', '', '']
[29, 400, 50, 2, 40, 3, '燕南园S4-211', '', '']
[29, 450, 50, 2, 41, 3, '燕南园S4-213', '', '']
[29, 450, 50, 2, 42, 3, '燕南园S4-214', '', '']
[29, 150, 50, 2, 43, 3, '燕南园S4-205', '', '']
[29, 150, 50, 2, 44, 3, '燕南园S4-206', '', '']
[29, 100, 50, 2, 45, 3, '燕南园S4-203', '', '']
[29, 100, 50, 2, 46, 3, '燕南园S4-204', '', '']
[29, 50, 50, 2, 47, 3, '燕南园S4-201', '', '']
[29, 50, 50, 2, 48, 3, '燕南园S4-202', '', '']
[29, 250, 100, 2, 49, 0, 'N', '', '']
[29, 300, 100, 2, 50, 3, '燕南园S4-216', '', '']
[29, 200, 100, 2, 51, 3, '燕南园S4-215', '', '']
[29, 250, 150, 2, 52, 0, 'N', '', '']
[29, 300, 150, 2, 53, 3, '燕南园S4-218', '', '']
[29, 200, 150, 2, 54, 3, '燕南园S4-217', '', '']
[29, 250, 200, 2, 55, 0, 'N', '', '']
[29, 300, 200, 2, 56, 3, '燕南园S4-220', '', '']
[29, 200, 200, 2, 57, 3, '燕南园S4-219', '', '']
[29, 250, 250, 2, 58, 0, 'N', '', '']
[29, 300, 250, 2, 59, 3, '燕南园S4-222', '', '']
[29, 200, 250, 2, 60, 3, '燕南园S4-221', '', '']
[29, 250, 300, 2, 61, 0, 'N', '', '']
[29, 300, 300, 2, 62, 3, '燕南园S4-224', '', '']
[29, 200, 300, 2, 63, 3, '燕南园S4-223', '', '']
[29, 250, 350, 2, 64, 0, 'N', '', '']
[29, 300, 350, 2, 65, 3, '燕南园S4-226', '', '']
[29, 200, 350, 2, 66, 3, '燕南园S4-225', '', '']
[29, 450, 100, 1, 67, 3, '燕南园S4-106', '', '']
[29, 550, 0, 3, 68, 2, 'Stairs', '', '']
[29, 600, 0, 3, 69, 0, 'N', '', '']
[29, 600, 50, 3, 70, 3, '燕南园S4-301', '', '']
[29, 600, 50, 3, 71, 3, '燕南园S4-302', '', '']
[29, 650, 0, 3, 72, 0, 'N', '', '']
[29, 650, 50, 3, 73, 3, '燕南园S4-303', '', '']
[29, 650, 50, 3, 74, 3, '燕南园S4-304', '', '']
[29, 700, 0, 3, 75, 0, 'N', '', '']
[29, 700, 100, 3, 76, 0, 'N', '', '']
[29, 750, 0, 3, 77, 0, 'N', '', '']
[29, 750, 50, 3, 78, 3, '燕南园S4-305', '', '']
[29, 750, 50, 3, 79, 3, '燕南园S4-306', '', '']
[29, 800, 0, 3, 80, 0, 'N', '', '']
[29, 850, 0, 3, 81, 0, 'N', '', '']
[29, 850, 50, 3, 82, 3, '燕南园S4-309', '', '']
[29, 850, 50, 3, 83, 3, '燕南园S4-310', '', '']
[29, 800, 50, 3, 84, 3, '燕南园S4-308', '', '']
[29, 800, 50, 3, 85, 3, '燕南园S4-307', '', '']
[29, 750, 100, 3, 86, 3, '燕南园S4-312', '', '']
[29, 650, 100, 3, 87, 3, '燕南园S4-311', '', '']
[29, 700, 150, 3, 88, 0, 'N', '', '']
[29, 700, 200, 3, 89, 0, 'N', '', '']
[29, 750, 150, 3, 90, 3, '燕南园S4-314', '', '']
[29, 650, 150, 3, 91, 3, '燕南园S4-313', '', '']
[29, 650, 200, 3, 92, 3, '燕南园S4-315', '', '']
[29, 750, 200, 3, 93, 3, '燕南园S4-316', '', '']
[29, 700, 250, 3, 94, 0, 'N', '', '']
[29, 700, 300, 3, 95, 0, 'N', '', '']
[29, 750, 300, 3, 96, 3, '燕南园S4-320', '', '']
[29, 650, 300, 3, 97, 3, '燕南园S4-319', '', '']
[29, 750, 250, 3, 98, 3, '燕南园S4-318', '', '']
[29, 650, 250, 3, 99, 3, '燕南园S4-317', '', '']
[29, 700, 350, 3, 100, 0, 'N', '', '']
[29, 750, 350, 3, 101, 3, '燕南园S4-322', '', '']
[29, 650, 350, 3, 102, 3, '燕南园S4-321', '', '']
[29, 500, 100, 1, 103, 1, '31', '', '']
[29, 0, 100, 1, 104, 1, '33', '', '']
[29, 250, 500, 1, 105, 1, '30', '', '']
