[71, 140, 50, 1, 1, 1, '73', '', '']
[71, 360, 50, 1, 2, 1, '74', '', '']
[71, 50, 50, 1, 3, 0, 'N', '', '']
[71, 50, 100, 1, 4, 0, 'N', '', '']
[71, 50, 150, 1, 5, 0, 'N', '', '']
[71, 50, 200, 1, 6, 0, 'N', '', '']
[71, 50, 250, 1, 7, 0, 'N', '', '']
[71, 450, 50, 1, 8, 0, 'N', '', '']
[71, 450, 100, 1, 9, 0, 'N', '', '']
[71, 450, 150, 1, 10, 0, 'N', '', '']
[71, 450, 200, 1, 11, 0, 'N', '', '']
[71, 450, 250, 1, 12, 0, 'N', '', '']
[71, 450, 300, 1, 13, 0, 'N', '', '']
[71, 50, 300, 1, 14, 0, 'N', '', '']
[71, 50, 350, 1, 15, 0, 'N', '', '']
[71, 50, 400, 1, 16, 0, 'N', '', '']
[71, 150, 400, 1, 17, 0, 'N', '', '']
[71, 450, 350, 1, 18, 0, 'N', '', '']
[71, 100, 350, 1, 19, 3, '实验楼111', '', '']
[71, 100, 300, 1, 20, 3, '实验楼109', '', '']
[71, 0, 350, 1, 21, 3, '实验楼112', '', '']
[71, 0, 300, 1, 22, 3, '实验楼110', '', '']
[71, 100, 250, 1, 23, 3, '实验楼107', '', '']
[71, 0, 250, 1, 24, 3, '实验楼108', '', '']
[71, 100, 200, 1, 25, 3, '实验楼105', '', '']
[71, 0, 200, 1, 26, 3, '实验楼106', '', '']
[71, 100, 150, 1, 27, 3, '实验楼103', '', '']
[71, 0, 150, 1, 28, 3, '实验楼104', '', '']
[71, 100, 100, 1, 29, 3, '实验楼101', '', '']
[71, 0, 100, 1, 30, 3, '实验楼102', '', '']
[71, 500, 100, 1, 31, 3, '实验楼126', '', '']
[71, 500, 150, 1, 32, 3, '实验楼124', '', '']
[71, 400, 150, 1, 33, 3, '实验楼125', '', '']
[71, 400, 200, 1, 34, 3, '实验楼123', '', '']
[71, 500, 200, 1, 35, 3, '实验楼122', '', '']
[71, 500, 250, 1, 36, 3, '实验楼120', '', '']
[71, 400, 250, 1, 37, 3, '实验楼121', '', '']
[71, 500, 300, 1, 38, 3, '实验楼118', '', '']
[71, 400, 300, 1, 39, 3, '实验楼119', '', '']
[71, 250, 400, 1, 40, 0, 'N', '', '']
[71, 200, 400, 1, 41, 0, 'N', '', '']
[71, 300, 400, 1, 42, 0, 'N', '', '']
[71, 50, 500, 2, 43, 0, 'N', '', '']
[71, 150, 500, 2, 44, 0, 'N', '', '']
[71, 450, 400, 1, 45, 0, 'N', '', '']
[71, 150, 350, 1, 46, 3, '实验楼113', '', '']
[71, 200, 350, 1, 47, 3, '实验楼114', '', '']
[71, 250, 350, 1, 48, 3, '实验楼115', '', '']
[71, 300, 350, 1, 49, 3, '实验楼116', '', '']
[71, 500, 350, 1, 50, 3, '实验楼117', '', '']
[71, 350, 500, 2, 51, 0, 'N', '', '']
[71, 450, 500, 2, 52, 0, 'N', '', '']
[71, 50, 550, 2, 53, 0, 'N', '', '']
[71, 50, 600, 2, 54, 0, 'N', '', '']
[71, 50, 650, 2, 55, 0, 'N', '', '']
[71, 50, 700, 2, 56, 0, 'N', '', '']
[71, 50, 750, 2, 57, 0, 'N', '', '']
[71, 50, 800, 2, 58, 0, 'N', '', '']
[71, 450, 800, 2, 59, 0, 'N', '', '']
[71, 450, 750, 2, 60, 0, 'N', '', '']
