[148, 50, 100, 1, 1, 3, '学一公寓101', '', '']
[148, 100, 100, 1, 2, 3, '学一公寓102', '', '']
[148, 150, 100, 1, 3, 3, '学一公寓103', '', '']
[148, 250, 100, 1, 4, 1, '149', '', '']
[148, 250, 200, 1, 5, 0, 'N', '', '']
[148, 300, 200, 1, 6, 3, '学一公寓108', '', '']
[148, 200, 200, 1, 7, 3, '学一公寓107', '', '']
[148, 250, 250, 1, 8, 0, 'N', '', '']
[148, 300, 250, 1, 9, 3, '学一公寓110', '', '']
[148, 200, 250, 1, 10, 3, '学一公寓109', '', '']
[148, 250, 300, 1, 11, 0, 'N', '', '']
[148, 300, 300, 1, 12, 3, '学一公寓112', '', '']
[148, 200, 300, 1, 13, 3, '学一公寓111', '', '']
[148, 250, 350, 1, 14, 0, 'N', '', '']
[148, 300, 350, 1, 15, 3, '学一公寓114', '', '']
[148, 200, 350, 1, 16, 3, '学一公寓113', '', '']
[148, 250, 400, 1, 17, 0, 'N', '', '']
[148, 300, 400, 1, 18, 3, '学一公寓116', '', '']
[148, 200, 400, 1, 19, 3, '学一公寓115', '', '']
[148, 350, 100, 1, 20, 3, '学一公寓104', '', '']
[148, 400, 100, 1, 21, 3, '学一公寓105', '', '']
[148, 250, 450, 1, 22, 0, 'N', '', '']
[148, 200, 450, 1, 23, 3, '学一公寓117', '', '']
[148, 300, 450, 1, 24, 3, '学一公寓118', '', '']
[148, 200, 100, 1, 25, 2, 'Stairs', '', '']
[148, 200, 0, 2, 26, 2, 'Stairs', '', '']
[148, 250, 0, 2, 27, 0, 'N', '', '']
[148, 300, 0, 2, 28, 0, 'N', '', '']
[148, 350, 0, 2, 29, 0, 'N', '', '']
[148, 400, 0, 2, 30, 0, 'N', '', '']
[148, 450, 0, 2, 31, 2, 'Stairs', '', '']
[148, 150, 0, 2, 32, 0, 'N', '', '']
[148, 100, 0, 2, 33, 0, 'N', '', '']
[148, 50, 0, 2, 34, 0, 'N', '', '']
[148, 300, 50, 2, 35, 3, '学一公寓207', '', '']
[148, 300, 50, 2, 36, 3, '学一公寓208', '', '']
[148, 350, 50, 2, 37, 3, '学一公寓209', '', '']
[148, 350, 50, 2, 38, 3, '学一公寓210', '', '']
[148, 400, 50, 2, 39, 3, '学一公寓212', '', '']
[148, 400, 50, 2, 40, 3, '学一公寓211', '', '']
[148, 450, 50, 2, 41, 3, '学一公寓213', '', '']
[148, 450, 50, 2, 42, 3, '学一公寓214', '', '']
[148, 150, 50, 2, 43, 3, '学一公寓205', '', '']
[148, 150, 50, 2, 44, 3, '学一公寓206', '', '']
[148, 100, 50, 2, 45, 3, '学一公寓203', '', '']
[148, 100, 50, 2, 46, 3, '学一公寓204', '', '']
[148, 50, 50, 2, 47, 3, '学一公寓201', '', '']
[148, 50, 50, 2, 48, 3, '学一公寓202', '', '']
[148, 250, 100, 2, 49, 0, 'N', '', '']
[148, 300, 100, 2, 50, 3, '学一公寓216', '', '']
[148, 200, 100, 2, 51, 3, '学一公寓215', '', '']
[148, 250, 150, 2, 52, 0, 'N', '', '']
[148, 300, 150, 2, 53, 3, '学一公寓218', '', '']
[148, 200, 150, 2, 54, 3, '学一公寓217', '', '']
[148, 250, 200, 2, 55, 0, 'N', '', '']
[148, 300, 200, 2, 56, 3, '学一公寓220', '', '']
[148, 200, 200, 2, 57, 3, '学一公寓219', '', '']
[148, 250, 250, 2, 58, 0, 'N', '', '']
[148, 300, 250, 2, 59, 3, '学一公寓222', '', '']
[148, 200, 250, 2, 60, 3, '学一公寓221', '', '']
[148, 250, 300, 2, 61, 0, 'N', '', '']
[148, 300, 300, 2, 62, 3, '学一公寓224', '', '']
[148, 200, 300, 2, 63, 3, '学一公寓223', '', '']
