[58, 24, 8, 1, 1, 1, '61', '', '']
[58, 14, 8, 1, 2, 2, 'Stairs', '', '']
[58, 8, 8, 1, 3, 1, '60', '', '']
[58, 10, 12, 1, 4, 1, '59', '', '']
[58, 14, 14, 2, 5, 2, 'Stairs', '', '']
[58, 10, 16, 3, 6, 2, 'Stairs', '', '']
[58, 6, 18, 4, 7, 2, 'Stairs', '', '']
[58, 2, 20, 5, 8, 2, 'Stairs', '', '']
[58, 14, 16, 2, 9, 3, '图书馆二楼', '', '']
[58, 2, 22, 5, 10, 3, '图书馆五楼', '', '']
[58, 6, 24, 4, 11, 0, 'N', '', '']
[58, 10, 22, 3, 12, 0, 'N', '', '']
[58, 8, 24, 4, 13, 3, '图书馆研讨间401', '', '']
[58, 6, 26, 4, 14, 0, 'N', '', '']
[58, 8, 26, 4, 15, 3, '图书馆研讨间402', '', '']
[58, 6, 28, 4, 16, 0, 'N', '', '']
[58, 6, 30, 4, 17, 0, 'N', '', '']
[58, 8, 28, 4, 18, 3, '图书馆研讨间403', '', '']
[58, 8, 30, 4, 19, 3, '图书馆研讨间404', '', '']
[58, 12, 22, 3, 20, 3, '图书馆研讨间301', '', '']
[58, 10, 24, 3, 21, 0, 'N', '', '']
[58, 10, 26, 3, 22, 0, 'N', '', '']
[58, 10, 28, 3, 23, 0, 'N', '', '']
[58, 10, 30, 3, 24, 0, 'N', '', '']
[58, 12, 30, 3, 25, 3, '图书馆研讨间305', '', '']
[58, 12, 28, 3, 26, 3, '图书馆研讨间304', '', '']
[58, 12, 26, 3, 27, 3, '图书馆研讨间303', '', '']
[58, 12, 24, 3, 28, 3, '图书馆研讨间302', '', '']
[58, 6, 32, 4, 29, 0, 'N', '', '']
[58, 8, 32, 4, 30, 3, '图书馆研讨间405', '', '']
[58, 6, 20, 4, 31, 3, '图书馆四楼', '', '']
[58, 10, 18, 3, 32, 3, '图书馆三楼', '', '']
