2021-05-30 00:12:02考上985
2021-05-30 00:12:22 考上985
2021-06-09 00:06:16 我的位置更新至校区1坐标为130,0
2021-06-09 00:07:12 进行前往沙河燕南园S4-209的导航
2021-06-09 00:07:55 导航已结束
2021-06-09 00:07:55 导航已结束
2021-06-09 00:07:55 我的位置更新至校区1坐标为294.1111111111098,70.33333333333341
2021-06-09 00:08:02 我的位置更新至校区1坐标为130,0
2021-06-09 00:09:39 进行前往沙河燕南园S4-211的导航
2021-06-09 00:10:40 进行前往沙河燕南园S4-211的导航
2021-06-09 00:12:23 进行前往沙河燕南园S4-211的导航
2021-06-09 00:13:03 导航已结束
2021-06-09 00:13:03 导航已结束
2021-06-09 00:13:03 我的位置更新至校区1坐标为143.9999999999999,5.999999999999998
2021-06-09 00:13:14 进行前往沙河燕南园S4-208的导航
2021-06-09 09:42:28 我的位置更新至校区1坐标为130,0
2021-06-09 09:43:08 进行前往沙河燕南园S4-208的导航
2021-06-09 09:47:36 导航已结束
2021-06-09 09:47:36 导航已结束
2021-06-09 09:47:36 我的位置更新至校区1坐标为199.99999999999943,95.33333333333306
2021-06-09 10:27:42 我的位置更新至校区1坐标为130,0
2021-06-09 10:27:48 进行前往沙河排球场门二的导航
2021-06-10 12:47:25 我的位置更新至校区1坐标为130,0
2021-06-10 12:47:37 进行前往沙河燕南园S4-108的导航
2021-06-10 12:50:02 我的位置更新至校区1坐标为130,0
2021-06-10 12:50:10 进行前往沙河燕南园S4-208的导航
2021-06-10 12:53:54 导航已结束
2021-06-10 12:54:01 进行前往沙河燕南园S4-105的导航
2021-06-10 12:54:55 我的位置更新至沙河燕南园S41层坐标为299.5555555555542,59.00000000000014
2021-06-10 12:55:11 导航已结束
2021-06-10 12:55:11 我的位置更新至沙河燕南园S41层坐标为398.8888888888855,100
