['0', '130', '0', '170', '40.0', '1', '77', '0']
['40', '130', '40', '170', '40.0', '78', '79', '0']
['40', '170', '0', '170', '40.0', '79', '77', '0']
['40', '220', '40', '170', '50.0', '80', '79', '0']
['40', '300', '40', '220', '80.0', '85', '80', '0']
['40', '300', '200', '300', '160.0', '85', '86', '0']
['0', '0', '200', '0', '200.0', '76', '87', '0']
['200', '0', '300', '0', '100.0', '87', '88', '0']
['200', '220', '200', '200', '20.0', '83', '90', '1']
['200', '300', '300', '300', '100.0', '86', '93', '0']
['250', '130', '250', '150', '20.0', '94', '95', '0']
['400', '300', '300', '300', '100.0', '98', '93', '0']
['300', '260', '300', '270', '10.0', '102', '92', '0']
['400', '300', '480', '300', '80.0', '98', '103', '0']
['420', '150', '400', '150', '20.0', '106', '107', '0']
['400', '130', '420', '130', '20.0', '100', '108', '1']
['420', '130', '420', '150', '20.0', '108', '106', '0']
['400', '190', '420', '190', '20.0', '99', '109', '0']
['420', '190', '420', '150', '40.0', '109', '106', '0']
['420', '150', '445', '150', '25.0', '106', '110', '0']
['600', '260', '600', '130', '130.0', '114', '113', '0']
['580', '280', '580', '260', '20.0', '115', '116', '0']
['580', '260', '600', '260', '20.0', '116', '114', '0']
['480', '300', '480', '280', '20.0', '103', '117', '0']
['480', '280', '580', '280', '100.0', '117', '115', '0']
['480', '280', '480', '260', '20.0', '117', '104', '1']
['480', '0', '600', '0', '120.0', '118', '119', '0']
['480', '70', '480', '60', '10.0', '122', '123', '1']
['700', '130', '700', '30', '100.0', '124', '125', '0']
['600', '0', '600', '30', '30.0', '119', '126', '0']
['600', '30', '700', '30', '100.0', '126', '125', '0']
['300', '190', '290', '190', '10.0', '101', '127', '0']
['290', '190', '290', '200', '10.0', '127', '128', '0']
['290', '200', '300', '200', '10.0', '128', '91', '0']
['200', '200', '290', '200', '90.0', '90', '128', '0']
['545', '62', '545', '65', '3.0', '120', '129', '0']
['545', '68', '545', '65', '3.0', '121', '129', '0']
['545', '65', '600', '65', '55.0', '129', '130', '0']
['300', '0', '480', '0', '180.0', '88', '118', '0']
